income,delta,predict,islow
2479.55,-351.4871914,2831.04,1
2624.95,-175.9203189,2800.87,0
2488.17,-126.9518331,2615.12,0
2471.8,98.14034541,2373.66,0
2507.4,107.2860471,2400.11,0
2356.5,57.42273869,2299.08,0
2602,188.4034153,2413.60,0
2373.18,-199.5485663,2572.73,0
2360,-61.80901035,2421.81,0
2577.5,-74.02445863,2651.52,0
2456.11,213.4968013,2242.61,0
2387.5,104.3930555,2283.11,0
2724.83,-154.1583008,2878.99,0
2514,215.8228961,2298.18,0
2484.93,-198.1231571,2683.05,0
2702.32,298.5833105,2403.74,0
2416.35,264.1709986,2152.18,0
2510.75,19.7250079,2491.02,0
2565.33,186.8748726,2378.46,0
2422.5,59.06496783,2363.44,0
2448.33,-10.22791983,2458.56,0
2377.35,119.5813409,2257.77,0
2465,-149.6579501,2614.66,0
2666.67,182.0289454,2484.64,0
2467.5,399.7369078,2067.76,0
2593.19,-96.98102959,2690.17,0
2490.82,93.88452459,2396.94,0
2735.33,-111.4321919,2846.76,0
2547.34,254.8824463,2292.46,0
2582.18,167.4352521,2414.74,0
2576.1,-72.96918087,2649.07,0
2635.18,66.67473886,2568.51,0
2523.33,541.0160167,1982.31,0
2490.93,-332.0417733,2822.97,1
2500,-294.4520887,2794.45,1
2590,6.158077506,2583.84,0
2677.6,175.1133459,2502.49,0
2506.1,-115.864858,2621.96,0
2590.15,-260.0329534,2850.18,1
2555.93,-40.50189942,2596.43,0
2525.77,-321.1421986,2846.91,1
2736.21,359.2128716,2377.00,0
2652.5,-7.60611903,2660.11,0
2541,-261.7441954,2802.74,1
2473.74,-109.6345475,2583.37,0
2506,246.0812189,2259.92,0
2439.63,249.8827126,2189.75,0
2625,266.8401698,2358.16,0
2434.41,97.92464108,2336.49,0
2486.5,-248.5034557,2735.00,1
2671,281.8042071,2389.20,0
2615.7,25.18058965,2590.52,0
2574.5,-348.6090561,2923.11,1
2361.25,9.048565456,2352.20,0
2512.5,89.54373092,2422.96,0
2395.94,146.8301481,2249.11,0
2525,-377.666455,2902.67,1
2392.25,89.64187907,2302.61,0
2453.5,34.44893206,2419.05,0
2397.5,-94.72965204,2492.23,0
2410,-294.3012801,2704.30,1
2648.84,304.2988363,2344.54,0
2520.48,115.5294736,2404.95,0
2547.11,55.72395598,2491.39,0
2675,-134.5934582,2809.59,0
2431.25,-360.4365446,2791.69,1
2417.85,70.437921,2347.41,0
2666.67,72.40256631,2594.27,0
2381.43,-1.135896279,2382.57,0
2617.5,384.1686975,2233.33,0
2435,-413.9018953,2848.90,1
2432.5,306.548425,2125.95,0
2610.25,-207.4280765,2817.68,1
2544.29,165.6511876,2378.64,0
2561.33,0.099317894,2561.23,0
2609.55,208.9722568,2400.58,0
2545,406.8596357,2138.14,0
2393.55,-137.2064865,2530.76,0
2400,-364.4143274,2764.41,1
2518,47.31717659,2470.68,0
2682.55,185.490489,2497.06,0
2487.25,-216.0358456,2703.29,1
2451.34,-182.2237416,2633.56,0
2372.67,50.75122165,2321.92,0
2711.1,-277.1492996,2988.25,1
2353.33,52.43115275,2300.90,0
2588.25,-227.157223,2815.41,1
2545.2,338.5314941,2206.67,0
2724,-195.4540202,2919.45,0
2504,-192.4984741,2696.50,0
2666,-9.868469067,2675.87,0
2414.25,-193.2379803,2607.49,0
2444.25,-124.0649036,2568.31,0
2632.5,74.61024885,2557.89,0
2383.99,-70.39315647,2454.38,0
2380,45.62610151,2334.37,0
2678.38,-154.8618445,2833.24,0
2511.5,-200.0609421,2711.56,1
2496.25,181.8159596,2314.43,0
2366,274.934719,2091.07,0
2352.5,15.38273717,2337.12,0
2748.07,-416.8894879,3164.96,1
2358.33,-121.2868567,2479.62,0
2415,-309.0639256,2724.06,1
2494.2,-102.4842578,2596.68,0
2743,390.5934569,2352.41,0
2425,-158.9070809,2583.91,0
2485.9,228.540455,2257.36,0
2426.5,138.7044286,2287.80,0
2711.33,-21.29837403,2732.63,0
2687.17,19.2604827,2667.91,0
2511.48,-344.7770831,2856.26,1
2464.84,367.9367092,2096.90,0
2678,667.11174,2010.89,0
2504.64,-78.91808962,2583.56,0
2353.33,-527.3653928,2880.70,1
2500,21.15405814,2478.85,0
2383.25,-212.1307268,2595.38,1
2702.5,-286.2605651,2988.76,1
2634,107.0896152,2526.91,0
2362.5,-295.272005,2657.77,1
2445.82,21.57599469,2424.24,0
2587.86,-103.8877339,2691.75,0
2530.9,35.86764879,2495.03,0
2678.97,54.18349574,2624.79,0
2505,-61.50849541,2566.51,0
2441.46,-40.74950647,2482.21,0
2378.83,-3.072811772,2381.90,0
2650.58,-307.5634337,2958.14,1
2371.92,-65.03892833,2436.96,0
2737.44,-218.6223731,2956.06,1
2366.4,-158.4181438,2524.82,0
2500,-373.8433676,2873.84,1
2500,-89.51307226,2589.51,0
2671.64,663.182487,2008.46,0
2560.88,-2.769835803,2563.65,0
2367.5,191.5434912,2175.96,0
2518,-2.547628442,2520.55,0
2666.8,-17.49601259,2684.30,0
2373.25,-115.5513395,2488.80,0
2505.86,-4.313709903,2510.17,0
2498.4,-267.0277566,2765.43,1
2554,-117.6429646,2671.64,0
2462,-399.5581816,2861.56,1
2620.88,332.7809367,2288.10,0
2678.08,372.4683382,2305.61,0
2692,-438.4224238,3130.42,1
2553.33,592.7804744,1960.55,0
2383,147.3674561,2235.63,0
2745.8,139.0980921,2606.70,0
2665.9,-150.8120046,2816.71,0
2385,-107.4799399,2492.48,0
2618.6,185.6000246,2433.00,0
2662,-337.7631334,2999.76,1
2351.5,-67.95046178,2419.45,0
2518,-38.70469563,2556.70,0
2438.33,662.600834,1775.73,0
2463.5,33.65132575,2429.85,0
2556.1,489.3038555,2066.80,0
2741.97,-123.959793,2865.93,0
2505,281.0535101,2223.95,0
2635.35,-296.7270524,2932.08,1
2557.25,208.1277618,2349.12,0
2665.15,-191.6760288,2856.83,0
2442.91,62.39477737,2380.52,0
2526.23,269.1579912,2257.07,0
2520.67,-112.3062315,2632.98,0
2444.8,144.1253897,2300.67,0
2503.65,-104.777762,2608.43,0
2601.33,98.90200622,2502.43,0
2500,-74.27483568,2574.27,0
2746.29,-107.6700568,2853.96,0
2418.1,-47.28344988,2465.38,0
2723,101.7762599,2621.22,0
2362.4,-65.70458102,2428.10,0
2678.75,-127.9780862,2806.73,0
2633.2,-321.8599393,2955.06,1
2610.98,165.3079628,2445.67,0
2551.33,108.7659393,2442.56,0
2628,-119.4568287,2747.46,0
2433.76,-374.1797165,2807.94,1
2430.23,136.1773903,2294.05,0
2351.5,-200.0445899,2551.54,1
2550,311.0755597,2238.92,0
2564,-336.4802204,2900.48,1
2634.27,284.9271714,2349.34,0
2628.13,-101.256827,2729.39,0
2641.67,-170.2723528,2811.94,0
2572.17,-242.0886086,2814.26,1
2453.75,-105.5633025,2559.31,0
2738.97,161.1484909,2577.82,0
2555.57,8.63999444,2546.93,0
2371.6,-161.6681859,2533.27,0
2356.5,41.9934489,2314.51,0
2366.5,34.49124611,2332.01,0
2393.19,-205.4790577,2598.67,1
2633.33,-67.01057376,2700.34,0
2561.25,41.78108976,2519.47,0
2453.33,-419.3339468,2872.66,1
2443.47,296.3229754,2147.15,0
2580.29,23.47495303,2556.82,0
2689.25,-286.0077308,2975.26,1
2475.81,416.5425565,2059.27,0
2420,-53.71688872,2473.72,0
2503.27,303.4445402,2199.83,0
2599.6,59.31361678,2540.29,0
2555,-117.8215116,2672.82,0
2533.99,247.6275046,2286.36,0
2422,3.445432841,2418.55,0
2644.75,-164.8978283,2809.65,0
2365,-119.4531273,2484.45,0
2412.95,18.80252094,2394.15,0
2606.1,-341.7362804,2947.84,1
2475.3,-33.5769305,2508.88,0
2425.4,83.95552768,2341.44,0
2382.9,-222.8868587,2605.79,1
2545.67,-23.06010285,2568.73,0
2450,97.82907855,2352.17,0
2512.3,-94.17333342,2606.47,0
2645,128.3385852,2516.66,0
2481.5,314.1306308,2167.37,0
2386.44,-2.390439343,2388.83,0
2515,348.8771847,2166.12,0
2465.33,70.80196219,2394.53,0
2459.95,-34.18588301,2494.14,0
2455,82.09737919,2372.90,0
2622.96,-185.130568,2808.09,0
2650.5,171.3504348,2479.15,0
2518,249.1816569,2268.82,0
2682.33,278.5451842,2403.78,0
2442.5,-155.9971673,2598.50,0
2488,-62.45556668,2550.46,0
2409.15,-131.9118978,2541.06,0
2399.45,72.21328896,2327.24,0
2652.73,11.98016351,2640.75,0
2518.25,-53.68770301,2571.94,0
2487.57,244.9931705,2242.58,0
2402,77.07452118,2324.93,0
2529.5,-609.5375255,3139.04,1
2672.54,411.8767013,2260.66,0
2380.4,799.9433247,1580.46,0
2503.83,62.9232386,2440.91,0
2486.67,158.2142578,2328.46,0
2602.2,-351.1782997,2953.38,1
2544.38,41.04277832,2503.34,0
2657.5,-62.65960929,2720.16,0
2520.5,-239.049832,2759.55,1
2376.54,207.0543999,2169.49,0
2435.25,178.4513958,2256.80,0
2726.32,308.4833815,2417.84,0
2370,-83.00509701,2453.01,0
2577.41,-183.4001799,2760.81,0
2350,329.7378929,2020.26,0
2623.37,57.76376622,2565.61,0
2416.67,-176.050782,2592.72,0
2539.5,-69.33491187,2608.83,0
2682.5,-50.91955567,2733.42,0
2426.87,-107.5755538,2534.45,0
2568.67,-76.91048536,2645.58,0
2392.5,58.74380975,2333.76,0
2560,-223.2931593,2783.29,1
2580.75,-216.7262139,2797.48,1
2710.98,-187.4914722,2898.47,0
2437,-90.85636265,2527.86,0
2396.08,86.40323583,2309.68,0
2590,502.2042291,2087.80,0
2582.91,-131.1929713,2714.10,0
2452.19,-32.19747295,2484.39,0
2516.83,-267.6782193,2784.51,1
2700.36,457.9637943,2242.40,0
2501.58,104.4367117,2397.14,0
2391.95,305.4887783,2086.46,0
2385.5,-288.1483407,2673.65,1
2575,18.56530154,2556.43,0
2644.8,-37.61348669,2682.41,0
2497.33,-23.21230893,2520.54,0
2648.75,50.44150134,2598.31,0
2677.5,-117.2816769,2794.78,0
2542,133.1464013,2408.85,0
2553.33,-239.7251253,2793.06,1
2702.63,-248.3084401,2950.94,1
2406,-222.0451966,2628.05,1
2557.54,200.2427281,2357.30,0
2450,-475.7734837,2925.77,1
2441.43,-77.66643704,2519.10,0
2500,-118.8455315,2618.85,0
2420,-175.0802794,2595.08,0
